district,per_cap_tree_desyatin_1848,percent_forested_1908,total_area_desyatin_1908,forested_area_1908,percent_forested_1818,forested_area_1818,percent_change_forested_area,OBJECTID
Kologrivsky,35.25,81,1179268,952408,85.5,963335,-1.1,5
Vetluzhsky ,46.5,78.3,1352052,1058339,88.4,1172113,-9.7,8
Varnavinsky ,39.25,71.1,934999,664622,87.5,797886,-16.7,14
Makaryevsky,19,64.6,1088850,702556,72.9,852713,-17.6,13
Soligalichsky,13.5,65.9,413269,272384,69.5,270703,-6.6,1
Chukhlomsky,9.5,59.9,335178,200702,59.4,195536,2.6,2
Galichsky,6,51.6,420171,216904,56.5,237910,-8.8,6
Buysky,8,50.3,284273,142964,73.8,205158,-30.3,4
Kineshmasky,4.143,53.1,452027,240156,51.6,229856,4.5,10
Kostromsky,4,39.6,425124,168498,50.2,210484,-19.9,7
Yurevetsky,2.2,35.8,295088,105482,35.7,107937,-2.3,12
Nerekhtsky,1.5,26.3,350158,92219,29,101319,-2.3,11
,,,,,,,,